action_needed,action,category,input_sentence,reply
1,turn_on,fan,Run the fan,The fan is running
1,turn_off,fan,Halt the fan,The fan is halted
1,turn_on,light,Fire up the light,The light is fired up
1,turn_off,light,Shut down the light,The light is shut down
1,turn_on,fan,Turn on the air circulation,The air circulation is now on
1,turn_off,fan,Turn off the air circulation,The air circulation is now off
1,turn_on,light,Activate the brightness,The brightness is activated
1,turn_off,light,Deactivate the brightness,The brightness is deactivated
1,turn_on,fan,Start the rotating motion,The rotating motion has started
1,turn_off,fan,Stop the rotating motion,The rotating motion has stopped
1,turn_on,light,Brighten up,The place is brightened up
1,turn_off,light,Dim down,The place is dimmed down
1,turn_on,fan,Switch on the ventilation,The ventilation is switched on
1,turn_off,fan,Switch off the ventilation,The ventilation is switched off
1,turn_on,light,Switch on the glow,The glow is switched on
1,turn_off,light,Switch off the glow,The glow is switched off
1,turn_on,fan,Enable the air circulation,The air circulation is enabled
1,turn_off,fan,Disable the air circulation,The air circulation is disabled
1,turn_on,light,Activate the illuminance,The illuminance is activated
1,turn_off,light,Deactivate the illuminance,The illuminance is deactivated
1,turn_on,fan,Turn on the swirling motion,The swirling motion is turned on
1,turn_off,fan,Turn off the swirling motion,The swirling motion is turned off
1,turn_on,light,Illuminate the area,The area is illuminated
1,turn_off,light,Douse the area,The area is doused
1,turn_on,fan,Initiate the spinning action,The spinning action has initiated
1,turn_off,fan,Terminate the spinning action,The spinning action has terminated
1,turn_on,light,Light up the space,The space is lit up
1,turn_off,light,Darken the space,The space is darkened
1,turn_on,fan,Start the breeze,The breeze has started
1,turn_off,fan,Stop the breeze,The breeze has stopped
1,turn_on,light,Switch on the radiance,The radiance is switched on
1,turn_off,light,Switch off the radiance,The radiance is switched off
1,turn_on,fan,Switch on the air movement,The air movement is switched on
1,turn_off,fan,Switch off the air movement,The air movement is switched off
1,turn_on,light,Activate the luminosity,The luminosity is activated
1,turn_off,light,Deactivate the luminosity,The luminosity is deactivated
1,turn_on,fan,Start the rotation,The rotation has started
1,turn_off,fan,Stop the rotation,The rotation has stopped
1,turn_on,light,Enlighten the area,The area is enlightened
1,turn_off,light,Unlighten the area,The area is unlightened
1,turn_on,fan,Commence the spinning,The spinning has commenced
1,turn_off,fan,Cease the spinning,The spinning has ceased
1,turn_on,light,Switch on the luminance,The luminance is switched on
1,turn_off,light,Switch off the luminance,The luminance is switched off
1,get_data,light,What is the luminuosity of the light,The luminuosity of the light is
1,get_data,light,What is the brightness of the light,The brightness of the light is
1,get_data,light,How bright the light is,The brightness of the light is
1,get_data,light,What's the luminosity of the light?,The details of the light is
1,get_data,light,Can you tell me the brightness of the light?,The details of the light is
1,get_data,light,How bright is the light?,The details of the light is
1,get_data,light,Give me the luminosity level of the light,The details of the light is
1,get_data,light,What is the light's brightness level?,The details of the light is
1,get_data,light,Please provide the light's luminosity,The details of the light is
1,get_data,light,What's the illumination of the light?,The details of the light is
1,get_data,light,Inform me about the light's brightness,The details of the light is
1,get_data,light,How intense is the light?,The details of the light is
1,get_data,light,Can you give me details about the light's luminance?,The details of the light is
1,get_data,light,What's the light's radiant flux?,The details of the light is
1,get_data,light,Provide information on the light's brightness,The details of the light is
1,get_data,light,How much light is being emitted?,The details of the light is
1,get_data,light,What's the light's radiant power?,The details of the light is
1,get_data,light,What's the intensity of the light?,The details of the light is
1,get_data,light,What's the light's radiance?,The details of the light is
1,get_data,light,Can you tell me about the light's luminosity level?,The details of the light is
1,get_data,light,What's the light's luminous flux?,The details of the light is
1,get_data,light,Please provide details about the light's brightness,The details of the light is
1,get_data,light,How much light is being emitted by the source?,The details of the light is
1,get_data,light,What's the light's luminous intensity?,The details of the light is
1,get_data,light,Can you tell me the light's illuminance?,The details of the light is
1,get_data,light,What's the light's luminous efficacy?,The details of the light is
1,get_data,light,Inform me about the light's intensity level,The details of the light is
1,get_data,light,What's the light's luminous energy?,The details of the light is
1,get_data,light,Provide information on the light's brightness level,The details of the light is
1,get_data,light,How bright is the illumination?,The details of the light is
1,get_data,light,What's the light's luminous intensity distribution?,The details of the light is
1,get_data,light,Can you tell me about the light's brightness distribution?,The details of the light is
1,get_data,light,What's the light's luminous exitance?,The details of the light is
1,get_data,light,Inform me about the light's radiant intensity,The details of the light is
1,get_data,light,What's the light's luminous efficacy rating?,The details of the light is
1,get_data,light,Please provide details about the light's radiant energy,The details of the light is
1,get_data,light,How much light energy is being emitted?,The details of the light is
1,get_data,light,What's the light's luminous exposure?,The details of the light is
1,get_data,light,Can you tell me the light's radiant emittance?,The details of the light is
1,get_data,light,What's the light's luminous intensity level?,The details of the light is
1,get_data,light,Inform me about the light's brightness distribution curve,The details of the light is
1,get_data,light,What's the light's luminous efficacy index?,The details of the light is
1,get_data,light,Provide information on the light's radiant flux density,The details of the light is
1,get_data,light,How bright is the light's illuminance?,The details of the light is
1,get_data,light,What's the light's luminous efficiency?,The details of the light is
1,get_data,light,Can you tell me the light's luminous flux per unit solid angle?,The details of the light is
1,get_data,light,What's the light's radiant intensity distribution curve?,The details of the light is
1,get_data,light,Please provide details about the light's brightness level curve,The details of the light is
1,get_data,light,How intense is the illumination?,The details of the light is
1,get_data,light,What's the light's luminous intensity profile?,The details of the light is
1,get_data,light,Inform me about the light's radiant exposure,The details of the light is
1,get_data,light,What's the light's luminous efficacy factor?,The details of the light is
1,get_data,light,Provide information on the light's radiant energy density,The details of the light is
1,get_data,light,How much light energy is being emitted per unit area?,The details of the light is
1,get_data,light,What's the light's luminous energy efficiency?,The details of the light is
1,get_data,light,Can you tell me the light's radiant exitance?,The details of the light is
1,get_data,light,What's the light's luminous flux per unit area?,The details of the light is
1,get_data,light,Inform me about the light's radiant exposure distribution,The details of the light is
1,get_data,light,What's the light's luminous efficiency factor?,The details of the light is
1,get_data,fan,What is the speed of the fan?,The details of the fan is
1,get_data,fan,How fast the fan is spinning,The details of the fan is
1,get_data,fan,What is the speed of the fan?,The details of the fan is
1,get_data,fan,How fast the fan is spinning,The details of the fan is
1,get_data,fan,Can you tell me the rotation speed of the fan?,The details of the fan is
1,get_data,fan,Provide details about the fan's speed,The details of the fan is
1,get_data,fan,What's the RPM of the fan?,The details of the fan is
1,get_data,fan,How quickly is the fan rotating?,The details of the fan is
1,get_data,fan,What's the fan's rotational velocity?,The details of the fan is
1,get_data,fan,Inform me about the fan's speed,The details of the fan is
1,get_data,fan,What's the fan's angular velocity?,The details of the fan is
1,get_data,fan,Provide information on the fan's speed,The details of the fan is
1,get_data,fan,How fast is the fan rotating?,The details of the fan is
1,get_data,fan,What is the fan's rotation rate?,The details of the fan is
1,get_data,fan,Can you tell me the fan's velocity?,The details of the fan is
1,get_data,fan,What's the fan's speed level?,The details of the fan is
1,get_data,fan,Provide details about how fast the fan is spinning,The details of the fan is
1,get_data,fan,How rapid is the fan's rotation?,The details of the fan is
1,get_data,fan,What's the fan's revolution per minute?,The details of the fan is
1,get_data,fan,Inform me about the fan's velocity,The details of the fan is
1,get_data,fan,What's the speed of rotation for the fan?,The details of the fan is
1,get_data,fan,How fast does the fan rotate?,The details of the fan is
1,get_data,fan,What's the fan's rotational speed?,The details of the fan is
1,get_data,fan,Provide details about the fan's angular velocity,The details of the fan is
1,get_data,fan,What's the rate of rotation of the fan?,The details of the fan is
1,get_data,fan,Can you tell me how quickly the fan is spinning?,The details of the fan is
1,get_data,fan,What's the fan's spin rate?,The details of the fan is
1,get_data,fan,Inform me about the fan's speed of rotation,The details of the fan is
1,get_data,fan,What's the fan's spinning velocity?,The details of the fan is
1,get_data,fan,Provide information on the fan's angular speed,The details of the fan is
1,get_data,fan,How fast is the fan's RPM?,The details of the fan is
1,get_data,fan,What's the fan's circular velocity?,The details of the fan is
1,get_data,fan,Inform me about the fan's rate of revolution,The details of the fan is
1,get_data,fan,What's the fan's spinning rate?,The details of the fan is
1,get_data,fan,Provide details about the fan's rate of rotation,The details of the fan is
1,get_data,fan,How rapid is the fan's spin?,The details of the fan is
1,get_data,fan,What's the fan's rotational velocity?,The details of the fan is
1,get_data,fan,Inform me about the fan's speed level,The details of the fan is
1,get_data,fan,What's the fan's angular velocity?,The details of the fan is
1,get_data,fan,Provide information on the fan's speed,The details of the fan is
1,get_data,fan,How fast is the fan rotating?,The details of the fan is
1,get_data,fan,What is the fan's rotation rate?,The details of the fan is
1,get_data,fan,Can you tell me the fan's velocity?,The details of the fan is
1,get_data,fan,What's the fan's speed level?,The details of the fan is
1,get_data,fan,Provide details about how fast the fan is spinning,The details of the fan is
1,get_data,fan,How rapid is the fan's rotation?,The details of the fan is
1,get_data,fan,What's the fan's revolution per minute?,The details of the fan is
1,get_data,fan,Inform me about the fan's velocity,The details of the fan is
1,get_data,fan,What's the speed of rotation for the fan?,The details of the fan is
1,get_data,fan,How fast does the fan rotate?,The details of the fan is
1,get_data,fan,What's the fan's rotational speed?,The details of the fan is
1,get_data,fan,Provide details about the fan's angular velocity,The details of the fan is
1,get_data,fan,What's the rate of rotation of the fan?,The details of the fan is
1,get_data,fan,Can you tell me how quickly the fan is spinning?,The details of the fan is
1,get_data,fan,What's the fan's spin rate?,The details of the fan is
1,get_data,fan,Inform me about the fan's speed of rotation,The details of the fan is
1,get_data,fan,What's the fan's spinning velocity?,The details of the fan is
1,get_data,fan,Provide information on the fan's angular speed,The details of the fan is
1,get_data,fan,How fast is the fan's RPM?,The details of the fan is
1,get_data,fan,What's the fan's circular velocity?,The details of the fan is
1,get_data,fan,Inform me about the fan's rate of revolution,The details of the fan is
1,get_data,fan,What's the fan's spinning rate?,The details of the fan is
1,get_data,fan,Provide details about the fan's rate of rotation,The details of the fan is
1,get_data,fan,How rapid is the fan's spin?,The details of the fan is
1,get_data,fan,What's the fan's rotational velocity?,The details of the fan is
1,get_data,fan,Inform me about the fan's speed level,The details of the fan is
1,get_data,fan,What's the fan's angular velocity?,The details of the fan is
1,get_data,fan,Provide information on the fan's speed,The details of the fan is
1,get_data,fan,How fast is the fan rotating?,The details of the fan is
1,get_data,fan,What is the fan's rotation rate?,The details of the fan is
1,get_data,fan,Can you tell me the fan's velocity?,The details of the fan is
1,get_data,fan,What's the fan's speed level?,The details of the fan is
1,get_data,fan,Provide details about how fast the fan is spinning,The details of the fan is
1,get_data,fan,How rapid is the fan's rotation?,The details of the fan is
1,get_data,fan,What's the fan's revolution per minute?,The details of the fan is
1,get_data,fan,Inform me about the fan's velocity,The details of the fan is
1,get_data,fan,What's the speed of rotation for the fan?,The details of the fan is
1,get_data,fan,How fast does the fan rotate?,The details of the fan is
1,get_data,fan,What's the fan's rotational speed?,The details of the fan is
1,get_data,fan,Provide details about the fan's angular velocity,The details of the fan is
1,get_data,fan,What's the rate of rotation of the fan?,The details of the fan is
1,get_data,fan,Can you tell me how quickly the fan is spinning?,The details of the fan is
1,get_data,fan,What's the fan's spin rate?,The details of the fan is
1,get_data,fan,Inform me about the fan's speed of rotation,The details of the fan is
1,get_data,fan,What's the fan's spinning velocity?,The details of the fan is
1,get_data,fan,Provide information on the fan's angular speed,The details of the fan is
1,get_data,fan,How fast is the fan's RPM?,The details of the fan is
1,get_data,fan,What's the fan's circular velocity?,The details of the fan is
1,get_data,fan,Inform me about the fan's rate of revolution,The details of the fan is
1,get_data,fan,What's the fan's spinning rate?,The details of the fan is
1,get_data,fan,Provide details about the fan's rate of rotation,The details of the fan is
1,get_data,fan,How rapid is the fan's spin?,The details of the fan is
1,get_data,fan,What's the fan's rotational velocity?,The details of the fan is
1,get_data,fan,Inform me about the fan's speed level,The details of the fan is
1,get_data,fan,What's the fan's angular velocity?,The details of the fan is
1,get_data,fan,Provide information on the fan's speed,The details of the fan is
1,get_data,fan,How fast is the fan rotating?,The details of the fan is
1,get_data,fan,What is the fan's rotation rate?,The details of the fan is
1,get_data,fan,Can you tell me the fan's velocity?,The details of the fan is
1,get_data,fan,What's the fan's speed level?,The details of the fan is
1,get_data,fan,Provide details about how fast the fan is spinning,The details of the fan is
1,get_data,fan,How rapid is the fan's rotation?,The details of the fan is
1,get_data,fan,What's the fan's revolution per minute?,The details of the fan is
1,get_data,fan,Inform me about the fan's velocity,The details of the fan is
1,get_data,fan,What's the speed of rotation for the fan?,The details of the fan is
1,get_data,fan,How fast does the fan rotate?,The details of the fan is
0,none,general,What features does INXAI offer for smart lighting?,INXAI provides dynamic control over lights allowing you to adjust brightness; color; and set schedules for an enhanced smart lighting experience.
0,none,general,How can I improve energy efficiency with INXAI?,INXAI's smart home solutions optimize energy consumption by intelligently managing devices and suggesting energy-efficient settings based on your preferences.
0,none,general,Tell me more about INXAI's security features.,INXAI ensures your smart home is secure with encrypted communication; real-time monitoring; and customizable security settings for peace of mind.
0,none,general,Can I integrate third-party devices with INXAI?,Absolutely! INXAI supports a wide range of third-party devices; providing seamless integration and a unified smart home experience.
0,none,general,What makes INXAI stand out from other smart home solutions?,INXAI distinguishes itself with its user-friendly app interface; advanced automation capabilities; and continuous updates for an evolving smart home experience.
0,none,general,How does INXAI enhance home automation?,INXAI simplifies home automation with intuitive voice commands; customizable routines and adaptive learning; making your smart home responsive to your lifestyle.
0,none,general,What's the benefit of using INXAI's app for smart home control?,INXAI's app offers centralized control; real-time monitoring; and personalized insights; providing a seamless and efficient way to manage your smart home.
0,none,general,Can INXAI assist in creating a comfortable home environment?,Absolutely! INXAI optimizes your home environment by adjusting temperature; lighting; and other factors based on your preferences and daily routines.
0,none,general,How does INXAI ensure user privacy in a smart home setup?,INXAI prioritizes user privacy with robust data encryption; transparent privacy policies; and giving users full control over data sharing settings.
0,none,general,Can INXAI suggest energy-saving tips for my smart home?,Yes; INXAI analyzes your usage patterns and suggests energy-saving tips; helping you make informed decisions for a more sustainable and efficient home.
0,none,general,What kind of voice commands can I use with INXAI?,INXAI supports a variety of voice commands for controlling lights; thermostats; security systems; and more; providing a hands-free and convenient smart home experience.
0,none,general,How can INXAI enhance my daily routines?,INXAI learns your daily routines and can automate tasks like adjusting lighting; setting the thermostat; and even brewing your morning coffee; making your routines smoother.
0,none,general,Is INXAI compatible with smart speakers?,Absolutely! INXAI seamlessly integrates with popular smart speakers; allowing you to control your smart home using voice commands through your preferred device.
0,none,general,Can INXAI help me monitor my home remotely?,Yes. INXAI's remote monitoring feature enables you to check the status of your smart devices; receive security alerts; and control your home from anywhere in the world.
0,none,general,How does INXAI adapt to changes in my daily life?,INXAI continuously adapts by learning from your habits and preferences; ensuring that your smart home evolves with you and remains in sync with your lifestyle.
0,none,general,What security measures are in place for INXAI's cloud services?,INXAI employs industry-standard encryption protocols and multi-factor authentication for cloud services; ensuring the highest level of security for your smart home data.
